no,profile_id,profile_name,profile_link,profile_affiliations,profile_email,profile_interests,first_publication_year,total_number_publications,profile_cited_by_count,h_index,i10_index,number_publications_percentile,number_publications_rank,citation_count_percentile,citation_count_rank,hindex_percentile,hindex_rank
37,pouof1wAAAAJ,Nahom Alemseged Worku,https://scholar.google.com/citations?hl=en&user=pouof1wAAAAJ,University of Washington,Verified email at uw.edu,"c(""Data Science"", ""Computational Science"", ""Health Metrics"", ""Computational Engineering"")",2020,10,1906,5,4,83.8,Top 16%,99.72,Top 0.3%,92.16,Top 8%
38,aCu_BW4AAAAJ,MAHMOUDI Issam,https://scholar.google.com/citations?hl=en&user=aCu_BW4AAAAJ,Data scientist,Verified email at ensea.fr,"c(""Machine Learning"", ""Deep Learning"", ""Data Science"", ""AI"")",2018,3,1866,3,3,49.22,Top 51%,99.71,Top 0.3%,81.33,Top 19%
39,QXXkfIYAAAAJ,Bilal A Mateen,https://scholar.google.com/citations?hl=en&user=QXXkfIYAAAAJ,University College London,Verified email at nhs.net,"c(""Data Science"", ""Machine Learning"", ""Population Health"")",2017,58,1768,19,27,99.58,Top 0.4%,99.7,Top 0.3%,99.84,Top 0.2%
40,gfaH8lcAAAAJ,Matheus Koengkan,https://scholar.google.com/citations?hl=en&user=gfaH8lcAAAAJ,University of Coimbra,Verified email at ij.uc.pt,"c(""Data science"", ""Health Economics"", ""Energy Economics"", ""and Environmental Economics"")",2017,128,1765,26,48,99.98,Top 0.01%,99.7,Top 0.3%,99.95,Top 0.01%
41,Smw0xpYAAAAJ,Collin Lewin,https://scholar.google.com/citations?hl=en&user=Smw0xpYAAAAJ,Massachusetts Institute of Technology,Verified email at mit.edu,"c(""Astrophysics"", ""Data Science"")",2018,29,1713,11,11,97.89,Top 2%,99.69,Top 0.3%,99.06,Top 0.9%
42,wLG71k4AAAAJ,Luna Yue Huang,https://scholar.google.com/citations?hl=en&user=wLG71k4AAAAJ,Data Scientist @ Waymo,Verified email at berkeley.edu,"c(""economics"", ""data science"", ""development economics"", ""machine learning"")",2019,4,1708,4,3,58.06,Top 42%,99.68,Top 0.3%,87.94,Top 12%
43,lT1tSZkAAAAJ,Andrea Vázquez-Ingelmo (https://orcid.org/0000-0002-7284-5593),https://scholar.google.com/citations?hl=en&user=lT1tSZkAAAAJ,"GRIAL Research Group, University of Salamanca",Verified email at usal.es,"c(""Human-Computer Interaction"", ""Data Visualization"", ""Machine Learning"", ""Data Science"")",2017,127,1635,23,42,99.97,Top 0.01%,99.67,Top 0.3%,99.91,Top 0.1%
44,S_SuGokAAAAJ,Gherman Uritskiy,https://scholar.google.com/citations?hl=en&user=S_SuGokAAAAJ,Amazon Research,Verified email at jhu.edu,"c(""Bioinformatics"", ""Machine Learning"", ""Data Science"")",2017,23,1604,11,12,96.31,Top 4%,99.66,Top 0.3%,99.06,Top 0.9%
45,LeshmV8AAAAJ,Stephen Bates,https://scholar.google.com/citations?hl=en&user=LeshmV8AAAAJ,"Assistant Professor, MIT EECS",Verified email at cs.berkeley.edu,"c(""Statistics"", ""Machine Learning"", ""Data Science"")",2019,41,1603,18,23,99.07,Top 0.9%,99.66,Top 0.3%,99.77,Top 0.2%
46,CpsZIU0AAAAJ,Serina Y Chang,https://scholar.google.com/citations?hl=en&user=CpsZIU0AAAAJ,"Computer Science, Stanford University",Verified email at stanford.edu,"c(""network science"", ""machine learning"", ""data science"", ""computational social science"")",2017,20,1551,7,6,95.02,Top 5%,99.65,Top 0.3%,96.58,Top 3%
